relation_type	raw_description	formatted_relation_type	description	prompt_template	resource	abbr	source_type	target_type	annotation
CTD::decreases^carbamoylation::Compound:Gene	Compound decreases gene carbamoylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^carbamoylation	Compound	Gene	
CTD::affects^mutagenesis::Compound:Gene	Compound affects gene mutagenesis	BioMedGPS::Target::Gene:Compound	"A gene that is a target for a specific compound, often in the context of drug development or treatment."	"Is the #Gene# a target for #Compound#, often in the context of drug development or treatment?"	CTD	affects^mutagenesis	Compound	Gene	
CTD::decreases^alkylation::Compound:Gene	Compound decreases gene alkylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^alkylation	Compound	Gene	
CTD::decreases^glutathionylation::Compound:Gene	Compound decreases gene glutathionylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^glutathionylation	Compound	Gene	
CTD::decreases^hydroxylation::Compound:Gene	Compound decreases gene hydroxylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^hydroxylation	Compound	Gene	
CTD::decreases^sulfation::Compound:Gene	Compound decreases gene sulfation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^sulfation	Compound	Gene	
CTD::affects^hydroxylation::Compound:Gene	Compound affects gene hydroxylation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^hydroxylation	Compound	Gene	
CTD::affects^glucuronidation::Compound:Gene	Compound affects gene glucuronidation	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^glucuronidation	Compound	Gene	
CTD::decreases^glycosylation::Compound:Gene	Compound decreases gene glycosylation	BioMedGPS::Blocker::Compound:Gene	A compound that blocks the function or activity of a specific gene.	Does the #Compound# block the function or activity of #Gene#?	CTD	decreases^glycosylation	Compound	Gene	
CTD::increases^farnesylation::Compound:Gene	Compound increases gene farnesylation	BioMedGPS::Activator::Compound:Gene	"A compound acts as an activator of a specific gene, meaning it increases the gene's expression or activity."	"Does the #Compound# act as an activator of #Gene#, increasing its expression or activity?"	CTD	increases^farnesylation	Compound	Gene	
CTD::affects^stability::Compound:Gene	Compound affects gene stability	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^stability	Compound	Gene	
CTD::affects^ubiquitination::Compound:Gene	Compound affects gene ubiquitination	BioMedGPS::Modulator::Compound:Gene	"A compound that modulates the expression or activity of a specific gene, either upregulating or downregulating its function."	"Does the #Compound# modulate the expression or activity of #Gene#, either upregulating or downregulating its function?"	CTD	affects^ubiquitination	Compound	Gene	
biolink::interacts_with::Gene:Gene	Indicates physical or functional interaction between two genes	BioMedGPS::Interaction::Gene:Gene	"An interaction between two genes, suggesting they may work together or influence each other's function."	"Is there an interaction between #Gene1# and #Gene2#, suggesting they may work together or influence each other's function?"	biolink	interacts_with	Gene	Gene	
biolink::expressed_in::Gene:Anatomy	The gene is expressed in a particular anatomical structure	BioMedGPS::E::Anatomy:Gene	"The gene has a general level of expression in a specific anatomical structure (E), meaning the gene exhibits regular activity in that structure, neither particularly high nor low."	"Does the #Gene# exhibit a general level of expression in the #Anatomy#, showing regular activity that is neither high nor low?"	biolink	expressed_in	Gene	Anatomy	
biolink::orthologous_to::Gene:Gene	"The two genes are orthologs, meaning they originated from a common ancestor in different species"	BioMedGPS::Orthologs::Gene:Gene	Two genes from different species that share a common evolutionary origin and likely have similar functions	"Are #Gene1# and #Gene2# orthologs, meaning they evolved from a common ancestor and likely have similar functions?"	biolink	orthologous_to	Gene	Gene	
biolink::enables::Gene:MolecularFunction	The gene product enables or carries out a molecular function	BioMedGPS::Interaction::Gene:MolecularFunction	"An interaction between a gene and a molecular function, suggesting that the gene product contributes to or affects that function."	"Is there an interaction between #Gene# and #MolecularFunction#, suggesting that the gene product contributes to or affects that function?"	biolink	enables	Gene	MolecularFunction	
biolink::has_phenotype::Gene:Phenotype	A mutation or change in the gene causes a phenotype	BioMedGPS::Present::Gene:Phenotype	"A gene is expressed or present in association with a phenotype, suggesting a functional link"	"Is the #Gene# present or expressed in association with the #Phenotype#, suggesting a functional link?"	biolink	has_phenotype	Gene	Phenotype	
biolink::actively_involved_in::Gene:BiologicalProcess	The gene is actively participating in a biological process	BioMedGPS::Participation::Gene:BiologicalProcess	"A gene is involved in or contributes to a biological process, indicating that the gene's activity plays a role in that process"	"Is the #Gene# involved in the #BiologicalProcess#, contributing to or regulating the process?"	biolink	actively_involved_in	Gene	BiologicalProcess	
biolink::located_in::Gene:CellularComponent	The gene product is located in a particular part of the cell	BioMedGPS::LocatedIn::Gene:CellularComponent	A gene that is located in or affects a specific cellular component	Is the #Gene# located in or active within the #CellularComponent#?	biolink	located_in	Gene	CellularComponent	
biolink::subclass_of::Phenotype:Phenotype	A phenotype is a more specific version (subclass) of another phenotype	BioMedGPS::ParentChild::Phenotype:Phenotype	"A hierarchical relationship between two symptoms, where one is broader or more general and the other more specific."	"Is there a hierarchical relationship between #Symptom1# and #Symptom2#, where #Symptom1# is broader or more general and #Symptom2# is more specific?"	biolink	subclass_of	Phenotype	Phenotype	
biolink::has_phenotype::Disease:Phenotype	A disease causes or is associated with certain phenotypes	BioMedGPS::Present::Disease:Phenotype	A symptom that is present and characteristic of a specific disease.	Is the #Symptom# characteristic and present in #Disease#?	biolink	has_phenotype	Disease	Phenotype	
biolink::acts_upstream_of_or_within::Gene:BiologicalProcess	"The gene acts upstream of or within a biological process, influencing its progression"	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	biolink	acts_upstream_of_or_within	Gene	BiologicalProcess	
biolink::participates_in::Gene:Pathway	The gene is involved in a biological or signaling pathway	BioMedGPS::Participation::Gene:Pathway	"A gene is involved in a biological pathway, contributing to the sequence of molecular events"	"Is the #Gene# involved in a #Pathway#, contributing to the sequence of molecular events?"	biolink	participates_in	Gene	Pathway	
biolink::is_active_in::Gene:CellularComponent	The gene is functionally active within a cellular structure	BioMedGPS::InCC::Gene:CellularComponent	"A gene associated with a specific cellular component, indicating its localization or activity within that component."	"Is the #Gene# associated with the #CellularComponent#, indicating its localization or activity within that component?"	biolink	is_active_in	Gene	CellularComponent	
biolink::subclass_of::Anatomy:Anatomy	An anatomical entity is a more specific version of another	BioMedGPS::ParentChild::Anatomy:Anatomy	"A hierarchical relationship between two anatomical structures, where one is considered a parent (broader) and the other a child (more specific)."	"Is there a hierarchical relationship between the #Anatomy1# and #Anatomy2#, where #Anatomy1# is broader and #Anatomy2# is more specific?"	biolink	subclass_of	Anatomy	Anatomy	
biolink::related_to::Phenotype:Anatomy	A phenotype is related to a body part	BioMedGPS::AssociatedWith::Phenotype:Anatomy	"A phenotype is associated with a specific anatomical structure, suggesting where the phenotype manifests"	"Is the #Phenotype# associated with a specific #Anatomy#, suggesting where the phenotype manifests?"	biolink	related_to	Phenotype	Anatomy	
biolink::part_of::Gene:CellularComponent	The gene product is a part of a cellular component	BioMedGPS::InCC::Gene:CellularComponent	"A gene associated with a specific cellular component, indicating its localization or activity within that component."	"Is the #Gene# associated with the #CellularComponent#, indicating its localization or activity within that component?"	biolink	part_of	Gene	CellularComponent	
biolink::participates_in::Compound:Pathway	A chemical entity participates in a biological pathway	BioMedGPS::Participation::Compound:Pathway	"A compound is involved in or affects a biological pathway, potentially as an activator or inhibitor"	"Is the #Compound# involved in a #Pathway#, potentially as an activator or inhibitor?"	biolink	participates_in	Compound	Pathway	
biolink::related_to::Anatomy:Anatomy	Two anatomical structures are related	BioMedGPS::AssociatedWith::Anatomy:Anatomy	"An association between two anatomical entities, possibly indicating spatial, developmental, or functional relationships"	"Is the #Anatomy1# associated with #Anatomy2#, suggesting spatial, functional, or developmental connections?"	biolink	related_to	Anatomy	Anatomy	
biolink::subclass_of::BiologicalProcess:BiologicalProcess	A biological process is a subclass of a broader process	BioMedGPS::ParentChild::BiologicalProcess:BiologicalProcess	"A hierarchical relationship between two biological processes, where one is considered a parent process and the other a child process."	"Is there a hierarchical relationship between the #BiologicalProcess1# and #BiologicalProcess2#, where #BiologicalProcess1# is broader and #BiologicalProcess2# is more specific?"	biolink	subclass_of	BiologicalProcess	BiologicalProcess	
biolink::subclass_of::Disease:Disease	A disease is a more specific version of another disease	BioMedGPS::ParentChild::Disease:Disease	"A hierarchical relationship between two diseases, where one is considered a parent disease and the other a child disease."	"Is there a hierarchical relationship between #Disease1# and #Disease2#, where #Disease1# is broader and #Disease2# is more specific?"	biolink	subclass_of	Disease	Disease	
biolink::subclass_of::Protein:Protein	One protein is a subtype of another	BioMedGPS::ParentChild::Gene:Gene	"A hierarchical relationship between genes, where one is considered broader (e.g. gene family) and the other more specific"	"Is there a hierarchical relationship between #Gene1# and #Gene2#, such as gene family or subfamily structure?"	biolink	subclass_of	Protein	Protein	
biolink::subclass_of::Compound:Compound	A chemical is a subclass of a broader chemical class	BioMedGPS::ParentChild::Compound:Compound	"A hierarchical relationship between two compounds, where one is broader or more general and the other more specific"	"Is there a hierarchical relationship between #Compound1# and #Compound2#, where one is broader or more general?"	biolink	subclass_of	Compound	Compound	
biolink::expressed_in::Gene:CellularComponent	The gene is expressed within a cellular structure	BioMedGPS::E::CellularComponent:Gene	A gene is expressed in or associated with a specific cellular component	Is the #Gene# expressed in or associated with the #CellularComponent#?	biolink	expressed_in	Gene	CellularComponent	
biolink::related_to::Phenotype:BiologicalProcess	A phenotype is related to a biological process	BioMedGPS::AssociatedWith::Phenotype:BiologicalProcess	"A phenotype is linked to a biological process, suggesting the process may underlie or result in the observed trait"	"Is the #Phenotype# linked to the #BiologicalProcess#, suggesting the process may underlie or explain the trait?"	biolink	related_to	Phenotype	BiologicalProcess	
biolink::related_to::Compound:Compound	"Two chemical entities are related, such as similar compounds"	BioMedGPS::AssociatedWith::Compound:Compound	"Two compounds are associated, possibly due to shared structure, function, or co-occurrence in treatment"	"Are #Compound1# and #Compound2# associated, possibly due to shared structure, function, or treatment use?"	biolink	related_to	Compound	Compound	
biolink::related_to::MolecularFunction:Compound	A molecular function is associated with a chemical	BioMedGPS::AssociatedWith::MolecularFunction:Compound	"A compound is associated with a molecular function, possibly as an activator, inhibitor, or substrate"	"Is the #Compound# associated with the #MolecularFunction#, possibly as an activator, inhibitor, or substrate?"	biolink	related_to	MolecularFunction	Compound	
biolink::treats_or_applied_or_studied_to_treat::Compound:Disease	A chemical entity is used to treat or studied in the context of a disease	BioMedGPS::Treatment::Compound:Disease	A compound is used in the treatment of a specific disease.	Is the #Compound# used in the treatment of #Disease#?	biolink	treats_or_applied_or_studied_to_treat	Compound	Disease	
biolink::acts_upstream_of::Gene:BiologicalProcess	"The gene acts upstream of a biological process, potentially regulating it"	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	biolink	acts_upstream_of	Gene	BiologicalProcess	
biolink::related_to::BiologicalProcess:BiologicalProcess	Two biological processes are related	BioMedGPS::AssociatedWith::BiologicalProcess:BiologicalProcess	"Two biological processes are associated, indicating possible regulatory, temporal, or causal connections"	"Are #BiologicalProcess1# and #BiologicalProcess2# associated, suggesting coordination, regulation, or progression?"	biolink	related_to	BiologicalProcess	BiologicalProcess	
biolink::subclass_of::MolecularFunction:MolecularFunction	A specific molecular function is a subclass of a broader one	BioMedGPS::ParentChild::MolecularFunction:MolecularFunction	"A hierarchical relationship between two molecular functions, where one is broader and the other more specific."	"Is there a hierarchical relationship between #MolecularFunction1# and #MolecularFunction2#, where #MolecularFunction1# is broader and #MolecularFunction2# is more specific?"	biolink	subclass_of	MolecularFunction	MolecularFunction	
biolink::has_mode_of_inheritance::Disease:Phenotype	A disease has an associated mode of inheritance phenotype	BioMedGPS::InheritancePattern::Disease:Phenotype	"A phenotype is inherited in association with a disease, reflecting the disease's inheritance pattern"	"Is the #Phenotype# inherited in association with #Disease#, reflecting the disease’s inheritance pattern?"	biolink	has_mode_of_inheritance	Disease	Phenotype	
biolink::gene_associated_with_condition::Gene:Disease	The gene is associated with a condition or disease	BioMedGPS::AssociatedWith::Gene:Disease	"A gene that is associated with a specific disease, suggesting a potential link or involvement in the disease process."	"Is the #Gene# associated with #Disease#, suggesting a potential link or involvement in the disease process?"	biolink	gene_associated_with_condition	Gene	Disease	
biolink::contributes_to::Gene:MolecularFunction	The gene contributes to a specific molecular function or activity	BioMedGPS::Interaction::Gene:MolecularFunction	"An interaction between a gene and a molecular function, suggesting that the gene product contributes to or affects that function."	"Is there an interaction between #Gene# and #MolecularFunction#, suggesting that the gene product contributes to or affects that function?"	biolink	contributes_to	Gene	MolecularFunction	
biolink::related_to::Phenotype:CellularComponent	A phenotype is associated with a part of the cell	BioMedGPS::AssociatedWith::Phenotype:CellularComponent	"A phenotype is related to a cellular component, suggesting that changes in the component may give rise to the trait"	"Is the #Phenotype# related to the #CellularComponent#, suggesting cellular changes may give rise to the trait?"	biolink	related_to	Phenotype	CellularComponent	
biolink::causes::Gene:Disease	A gene that causes or contributes to the development of a specific disease.	BioMedGPS::Causer::Gene:Disease	A gene that causes or contributes to the development of a specific disease.	Does the #Gene# cause or contribute to the development of #Disease#?	biolink	causes	Gene	Disease	
biolink::subclass_of::CellularComponent:CellularComponent	A type of cellular component is a more specific example of another.	BioMedGPS::ParentChild::CellularComponent:CellularComponent	"A hierarchical relationship between two cellular components, where one is considered a parent component and the other a child component."	"Is there a hierarchical relationship between the #CellularComponent1# and #CellularComponent2#, where #CellularComponent1# is broader and #CellularComponent2# is more specific?"	biolink	subclass_of	CellularComponent	CellularComponent	
biolink::related_to::BiologicalProcess:Compound	A chemical substance is involved in or affects a biological process.	BioMedGPS::AssociatedWith::BiologicalProcess:Compound	A compound is involved in or affects a biological process	"Is the #Compound# associated with the #BiologicalProcess#, suggesting it may influence or result from that process?"	biolink	related_to	BiologicalProcess	Compound	
biolink::related_to::Phenotype:Compound	A chemical entity may be associated with a phenotype	BioMedGPS::AssociatedWith::Phenotype:Compound	A compound is linked to the presence or alteration of a phenotype	"Is the #Compound# associated with the #Phenotype#, suggesting it may cause, treat, or result from the symptom?"	biolink	related_to	Phenotype	Compound	
biolink::colocalizes_with::Gene:CellularComponent	The gene product colocalizes with a specific cellular component	BioMedGPS::LocatedIn::Gene:CellularComponent	A gene that is located in or affects a specific cellular component	Is the #Gene# located in or active within the #CellularComponent#?	biolink	colocalizes_with	Gene	CellularComponent	
biolink::subclass_of::Anatomy:CellularComponent	A specific anatomical part is categorized under cellular components.	BioMedGPS::ParentChild::Anatomy:CellularComponent	A cellular component is considered part of or derived from a broader anatomical structure	"Is there a hierarchical relationship between #Anatomy# and #CellularComponent#, indicating anatomical containment or origin?"	biolink	subclass_of	Anatomy	CellularComponent	
biolink::related_to::CellularComponent:CellularComponent	Two cellular components are functionally or structurally associated.	BioMedGPS::AssociatedWith::CellularComponent:CellularComponent	Two cellular components are associated structurally or functionally within the cell	"Are #CellularComponent1# and #CellularComponent2# associated, suggesting a structural or functional relationship?"	biolink	related_to	CellularComponent	CellularComponent	
biolink::related_to::Phenotype:MolecularFunction	A phenotype is influenced by or connected to a molecular activity.	BioMedGPS::AssociatedWith::Phenotype:MolecularFunction	"A phenotype is related to a molecular function, potentially through gain or loss of that function"	"Is the #Phenotype# associated with the #MolecularFunction#, indicating that changes in function may contribute to the trait?"	biolink	related_to	Phenotype	MolecularFunction	
biolink::related_to::BiologicalProcess:CellularComponent	A process takes place in or is related to a part of the cell.	BioMedGPS::AssociatedWith::BiologicalProcess:CellularComponent	"A biological process is associated with a specific part of the cell, suggesting it may occur there or depend on it"	"Is the #BiologicalProcess# associated with the #CellularComponent#, suggesting the process takes place or depends on that structure?"	biolink	related_to	BiologicalProcess	CellularComponent	
biolink::related_to::BiologicalProcess:Anatomy	A process occurs in or is related to a specific body part or tissue	BioMedGPS::AssociatedWith::BiologicalProcess:Anatomy	A biological process occurs in or is tied to a specific anatomical structure	"Is the #BiologicalProcess# associated with the #Anatomy#, suggesting it occurs in or impacts that body structure?"	biolink	related_to	BiologicalProcess	Anatomy	
biolink::related_to::Disease:Disease	Two diseases are related	BioMedGPS::AssociatedWith::Disease:Disease	"Two diseases are associated, potentially through comorbidity, shared etiology, or overlapping symptoms"	"Are #Disease1# and #Disease2# associated, perhaps by comorbidity, shared cause, or clinical presentation?"	biolink	related_to	Disease	Disease	
biolink::disease_has_location::Disease:Anatomy	The disease affects a specific part of the body	BioMedGPS::LocatedIn::Disease:Anatomy	A disease that is located in or affects a specific anatomical structure.	Is the #Disease# located in or does it affect the #Anatomy#?	biolink	disease_has_location	Disease	Anatomy	
biolink::related_to::Protein:Protein	Two proteins are functionally or physically related	BioMedGPS::AssociatedWith::Gene:Gene	"Two genes that are associated with each other, suggesting a potential relationship or interaction."	"Are #Gene1# and #Gene2# associated with each other, suggesting a potential relationship or interaction?"	biolink	related_to	Protein	Protein	
biolink::related_to::MolecularFunction:BiologicalProcess	A molecular activity is part of or affects a biological process	BioMedGPS::AssociatedWith::BiologicalProcess:MolecularFunction	"A biological process is linked to a molecular function, suggesting the function plays a role in the process"	"Is the #BiologicalProcess# associated with the #MolecularFunction#, indicating a mechanistic relationship?"	biolink	related_to	MolecularFunction	BiologicalProcess	
biolink::related_to::Phenotype:Phenotype	Two phenotypes are associated or co-occur	BioMedGPS::AssociatedWith::Phenotype:Phenotype	"Two phenotypes are associated, often due to co-occurrence or shared underlying causes"	"Are #Phenotype1# and #Phenotype2# associated, suggesting co-occurrence or shared etiology?"	biolink	related_to	Phenotype	Phenotype	
biolink::related_to::Phenotype:Disease	A phenotype is related to a disease.	BioMedGPS::Present::Disease:Phenotype	A symptom that is present and characteristic of a specific disease.	Is the #Symptom# characteristic and present in #Disease#?	biolink	related_to	Phenotype	Disease	
biolink::acts_upstream_of_positive_effect::Gene:BiologicalProcess	The gene acts upstream and has a positive regulatory effect on a biological process	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	biolink	acts_upstream_of_positive_effect	Gene	BiologicalProcess	
biolink::related_to::Anatomy:BiologicalProcess	A body part is related to or involved in a biological process	BioMedGPS::AssociatedWith::Anatomy:BiologicalProcess	An anatomical structure is involved in or affected by a biological process	"Is the #Anatomy# associated with the #BiologicalProcess#, indicating where the process occurs or is regulated?"	biolink	related_to	Anatomy	BiologicalProcess	
biolink::acts_upstream_of_or_within_positive_effect::Gene:BiologicalProcess	"The gene is within or upstream of a process, with a positive effect"	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	biolink	acts_upstream_of_or_within_positive_effect	Gene	BiologicalProcess	
biolink::related_to::BiologicalProcess:MolecularFunction	A biological process involves certain molecular functions	BioMedGPS::AssociatedWith::BiologicalProcess:MolecularFunction	"A biological process is linked to a molecular function, suggesting the function plays a role in the process"	"Is the #BiologicalProcess# associated with the #MolecularFunction#, indicating a mechanistic relationship?"	biolink	related_to	BiologicalProcess	MolecularFunction	
biolink::contributes_to::Gene:Disease	"The gene contributes to the development of a disease, though it may not be the sole cause"	BioMedGPS::Causer::Gene:Disease	A gene that causes or contributes to the development of a specific disease.	Does the #Gene# cause or contribute to the development of #Disease#?	biolink	contributes_to	Gene	Disease	
biolink::related_to::Phenotype:Protein	A phenotype is linked to the presence or function of a protein	BioMedGPS::AssociatedWith::Gene:Phenotype	"A gene that is associated with a specific symptom, potentially indicating a link between the gene's activity and the manifestation of the symptom."	"Is the #Gene# associated with #Symptom#, potentially indicating a link between the gene's activity and the manifestation of the symptom?"	biolink	related_to	Phenotype	Protein	
biolink::related_to::CellularComponent:MolecularFunction	A molecular activity occurs within or is related to a cell component	BioMedGPS::AssociatedWith::CellularComponent:MolecularFunction	A molecular function is carried out within or relies on a particular cellular component	"Is the #CellularComponent# associated with the #MolecularFunction#, indicating location or context for the activity?"	biolink	related_to	CellularComponent	MolecularFunction	
biolink::related_to::Protein:BiologicalProcess	A protein is involved in a biological process	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	biolink	related_to	Protein	BiologicalProcess	
biolink::related_to::MolecularFunction:MolecularFunction	Two molecular activities are functionally linked	BioMedGPS::AssociatedWith::MolecularFunction:MolecularFunction	"Two molecular functions are associated, potentially as part of a pathway or regulatory network."	"Are #MolecularFunction1# and #MolecularFunction2# associated, suggesting co-regulation or related function?"	biolink	related_to	MolecularFunction	MolecularFunction	
biolink::related_to::CellularComponent:BiologicalProcess	A cellular component plays a role in a process	BioMedGPS::AssociatedWith::BiologicalProcess:CellularComponent	"A biological process is associated with a specific part of the cell, suggesting it may occur there or depend on it"	"Is the #BiologicalProcess# associated with the #CellularComponent#, suggesting the process takes place or depends on that structure?"	biolink	related_to	CellularComponent	BiologicalProcess	
biolink::related_to::MolecularFunction:Protein	A molecular function is carried out by a protein	BioMedGPS::Interaction::Gene:MolecularFunction	"An interaction between a gene and a molecular function, suggesting that the gene product contributes to or affects that function."	"Is there an interaction between #Gene# and #MolecularFunction#, suggesting that the gene product contributes to or affects that function?"	biolink	related_to	MolecularFunction	Protein	
biolink::subclass_of::Phenotype:Anatomy	A phenotype may be anatomically localized	BioMedGPS::LocationIn::Phenotype:Anatomy	A phenotype manifests in or affects a specific anatomical structure	"Is the #Phenotype# located in or affecting the #Anatomy#, indicating where it manifests?"	biolink	subclass_of	Phenotype	Anatomy	
biolink::acts_upstream_of_negative_effect::Gene:BiologicalProcess	The gene negatively influences a biological process from an upstream position	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	biolink	acts_upstream_of_negative_effect	Gene	BiologicalProcess	
biolink::acts_upstream_of_or_within_negative_effect::Gene:BiologicalProcess	"The gene is within or upstream of a process, with a negative effect"	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	biolink	acts_upstream_of_or_within_negative_effect	Gene	BiologicalProcess	
biolink::related_to::MolecularFunction:CellularComponent	A molecular activity (like catalysis) is carried out in a specific part of the cell	BioMedGPS::AssociatedWith::CellularComponent:MolecularFunction	A molecular function is carried out within or relies on a particular cellular component	"Is the #CellularComponent# associated with the #MolecularFunction#, indicating location or context for the activity?"	biolink	related_to	MolecularFunction	CellularComponent	
biolink::has_participant::Disease:BiologicalProcess	A biological process is involved in or affected by the disease	BioMedGPS::Participation::BiologicalProcess:Disease	A disease involves or affects a biological process	"Is the #BiologicalProcess# involved in the #Disease#, suggesting its role in the disease mechanism?"	biolink	has_participant	Disease	BiologicalProcess	
biolink::has_participant::Disease:MolecularFunction	A disease process involves specific molecular functions	BioMedGPS::Participation::MolecularFunction:Disease	A disease involves a disruption or alteration of a molecular function	Is the #MolecularFunction# involved in or altered in the #Disease#?	biolink	has_participant	Disease	MolecularFunction	
biolink::disrupts::Disease:BiologicalProcess	A disease disrupts (interferes with or impairs) a biological process	BioMedGPS::Disrupt::Disease:BiologicalProcess	"A disease negatively impacts a biological process, interfering with its normal function"	"Does the #Disease# disrupt the #BiologicalProcess#, interfering with its normal function?"	biolink	disrupts	Disease	BiologicalProcess	
biolink::related_to::Anatomy:CellularComponent	An anatomical structure is related to a cellular component	BioMedGPS::AssociatedWith::Anatomy:CellularComponent	An anatomical structure is linked to a cellular component it contains or depends on	"Is the #Anatomy# associated with the #CellularComponent#, suggesting structural or developmental containment?"	biolink	related_to	Anatomy	CellularComponent	
biolink::enables::Protein:MolecularFunction	A protein performs or enables a molecular function	BioMedGPS::Interaction::Gene:MolecularFunction	"An interaction between a gene and a molecular function, suggesting that the gene product contributes to or affects that function."	"Is there an interaction between #Gene# and #MolecularFunction#, suggesting that the gene product contributes to or affects that function?"	biolink	enables	Protein	MolecularFunction	
biolink::related_to::Disease:Compound	A disease is affected by or associated with a chemical compound	BioMedGPS::AssociatedWith::Compound:Disease	"A compound is associated with a specific disease, suggesting a potential relationship or interaction with the disease."	"Is the #Compound# associated with #Disease#, suggesting a potential relationship or interaction with the disease?"	biolink	related_to	Disease	Compound	
biolink::related_to::Anatomy:Compound	A chemical compound is present in or interacts with a body structure	BioMedGPS::AssociatedWith::Anatomy:Compound	"A compound is associated with a body structure, perhaps by localization or tissue-specific action"	"Is the #Compound# associated with the #Anatomy#, suggesting localization or targeted delivery?"	biolink	related_to	Anatomy	Compound	
biolink::related_to::BiologicalProcess:Protein	A biological process involves or is influenced by a protein	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	biolink	related_to	BiologicalProcess	Protein	
biolink::has_participant::Disease:CellularComponent	A disease involves activity in specific cell structures	BioMedGPS::Participation::CellularComponent:Disease	A disease involves or alters a specific cellular component	Is the #CellularComponent# involved in or affected by the #Disease#?	biolink	has_participant	Disease	CellularComponent	
biolink::acts_upstream_of_or_within::Protein:BiologicalProcess	"A protein acts before or within a biological process — it might initiate, regulate, or be part of it"	BioMedGPS::Interaction::Gene:BiologicalProcess	"An interaction between a gene and a biological process, suggesting that the gene plays a role in regulating or affecting that process."	"Is there an interaction between #Gene# and #BiologicalProcess#, suggesting a role in regulating or affecting the process?"	biolink	acts_upstream_of_or_within	Protein	BiologicalProcess	
biolink::related_to::Protein:MolecularFunction	A protein contributes to or performs a molecular activity	BioMedGPS::Interaction::Gene:MolecularFunction	"An interaction between a gene and a molecular function, suggesting that the gene product contributes to or affects that function."	"Is there an interaction between #Gene# and #MolecularFunction#, suggesting that the gene product contributes to or affects that function?"	biolink	related_to	Protein	MolecularFunction	
biolink::located_in::Protein:CellularComponent	The protein is physically located in a cellular component	BioMedGPS::InCC::Gene:CellularComponent	"A gene associated with a specific cellular component, indicating its localization or activity within that component."	"Is the #Gene# associated with the #CellularComponent#, indicating its localization or activity within that component?"	biolink	located_in	Protein	CellularComponent	
biolink::related_to::CellularComponent:Compound	A chemical entity acts on or localizes in a cellular structure	BioMedGPS::AssociatedWith::CellularComponent:Compound	A compound interacts with or accumulates in a specific cellular component	"Is the #CellularComponent# associated with the #Compound#, indicating accumulation, interaction, or localization?"	biolink	related_to	CellularComponent	Compound	
